"","sample.ID","well.ID","plate.id","Fish.ID","tissue","Population","Habitat.temp","Cam.Temp","Sex","top_substrate","group"
"G7.P2.O1P5R6.brain","G7.P2.O1P5R6.brain","G7","P2","O1P5R6","brain","NOC",28,"12","F","END","NOC.12"
"G9.P2.R1R3G6.brain","G9.P2.R1R3G6.brain","G9","P2","R1R3G6","brain","OCE",32,"28","M","FA","OCE.28"
"H10.P2.O1O2R5.brain","H10.P2.O1O2R5.brain","H10","P2","O1O2R5","brain","NOC",28,"28","F","GLU","NOC.28"
"H11.P2.P3O5O6.brain","H11.P2.P3O5O6.brain","H11","P2","P3O5O6","brain","OCE",32,"12","M","FA","OCE.12"
"H12.P2.G2G3O5.brain","H12.P2.G2G3O5.brain","H12","P2","G2G3O5","brain","SOC",28,"12","M","END","SOC.12"
"H2.P2.G1P3P5.brain","H2.P2.G1P3P5.brain","H2","P2","G1P3P5","brain","SOC",28,"12","F","END","SOC.12"
"H3.P2.O3O4R6.brain","H3.P2.O3O4R6.brain","H3","P2","O3O4R6","brain","OCE",32,"12","F","END","OCE.12"
"H4.P2.G2G3O4.brain","H4.P2.G2G3O4.brain","H4","P2","G2G3O4","brain","OCE",32,"12","F","FA","OCE.12"
"H5.P2.O1R2G6.brain","H5.P2.O1R2G6.brain","H5","P2","O1R2G6","brain","OCE",32,"12","F","GLU","OCE.12"
"H7.P2.O2P3O6.brain","H7.P2.O2P3O6.brain","H7","P2","O2P3O6","brain","OCE",32,"12","M","GLU","OCE.12"
"H8.P2.O1O3R4.brain","H8.P2.O1O3R4.brain","H8","P2","O1O3R4","brain","NOC",28,"28","F","GLU","NOC.28"
"H9.P2.R1O2P4.brain","H9.P2.R1O2P4.brain","H9","P2","R1O2P4","brain","SOC",28,"28","M","LKA","SOC.28"
