"","G2.P2.G2P4R6.brain","H2.P2.G1P3P5.brain","B3.P2.O2P4P5.brain","C3.P2.O1R4G5.brain","E3.P2.G2R4P6.brain","G3.P2.G2G4R5.brain","H3.P2.O3O4R6.brain","C4.P2.R1G2R5.brain","D4.P2.O1P2R4.brain","E4.P2.R2R5G6.brain","H4.P2.G2G3O4.brain","A5.P2.R3O5G6.brain","B5.P2.G2P3O6.brain","C5.P2.G3O4G6.brain","G5.P2.R1G3O5.brain","H5.P2.O1R2G6.brain","A6.P2.G1G2G6.brain","D6.P2.G3P4O5.brain","F6.P2.O2O3G6.brain","G6.P2.R1R4R6.brain","C7.P2.G2O3O4.brain","E7.P2.O1G2P3.brain","F7.P2.P3O5R6.brain","G7.P2.O1P5R6.brain","H7.P2.O2P3O6.brain","B8.P2.P3R4G6.brain","D8.P2.R3P5G6.brain","A9.P2.P1G4G5.brain","B9.P2.O2R5R6.brain","E9.P2.G4G5R6.brain","H9.P2.R1O2P4.brain","B10.P2.G1O5P6.brain","C10.P2.R2O3O5.brain","D10.P2.R3O5O6.brain","F10.P2.R2P5P6.brain","G10.P2.R1O2P6.brain","B11.P2.G1R2P5.brain","C11.P2.P2G3P6.brain","D11.P2.G1R4P6.brain","F11.P2.G1O3R6.brain","G11.P2.R1P2O5.brain","H11.P2.P3O5O6.brain","A12.P2.R3R5R6.brain","D12.P2.R3G5O6.brain","G12.P2.P3O4R6.brain"
"stk17a",0,0,17,217,1,28,5,0,0,0,0,1,0,109,34,34,0,47,474,0,128,45,0,2,2,1,1,6,0,69,0,67,0,0,1,0,1,1,62,1,0,0,0,2,0
"stk17al",80,0,1,0,1,1,202,0,3,15,2,0,133,0,1,0,0,2,0,0,26,1,0,1,12,0,0,0,0,0,225,35,0,0,0,0,16,40,0,2,78,0,0,0,0
"stk17b",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
"stk24a",0,104,72,0,0,0,1,106,2,2,27,5,1,1,1,78,5,1,81,0,94,0,12,0,0,0,0,20,0,0,0,9,1,1,0,184,0,49,0,0,0,64,83,1,0
"stk24b",0,0,0,0,114,0,0,0,1,1,75,0,0,0,0,0,0,0,0,117,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,46,1,1,0,206,1,0,0,0
"stk25b",27,78,429,0,229,57,5,410,140,69,0,32,106,9,0,132,42,0,0,0,0,1,2,29,204,205,1,0,3,68,0,6,0,230,46,25,0,175,1,5,55,83,1,7,76
"stk26",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"stk3",88,190,0,116,0,3,1,12,65,383,0,8,84,134,2,40,77,1,1,1,0,2,26,0,15,195,60,37,1,103,0,3,74,0,0,2,61,193,103,0,94,0,109,1,0
"stk32a",0,0,0,0,0,0,77,25,2,44,130,0,0,0,0,0,0,0,0,0,3,1,0,0,0,19,0,51,74,30,0,0,7,0,232,0,194,6,0,0,0,10,1,0,41
"stk33",0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"stk36",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"stk38a",1,6,88,0,87,318,8,23,1,63,15,0,247,1,0,147,32,2,0,0,0,0,0,0,13,2,2,49,83,0,0,3,1,36,2,1,1,0,41,0,137,2,0,2,2
"stk39",22,33,128,190,233,160,22,108,1,205,1,0,4,1,192,367,0,84,2,0,0,124,2,207,9,0,14,26,64,0,0,113,276,0,194,0,0,182,46,0,174,34,20,2,0
"stk40",189,0,0,0,0,0,1,0,1,1,0,1,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,109,0,0,0,0,27,0,1,0,0,210,0,0,0
"stm",138,359,15,104,123,0,1,8,3,2,2,37,0,1,1,4,2,4,0,42,2,0,34,58,0,308,0,2,0,15,2,101,270,85,37,1,0,0,167,18,170,183,1,1,68
"stmn1a",296,658,181,325,436,776,1519,734,293,1028,703,633,2162,1475,249,614,262,620,85,1175,502,861,983,381,1229,1297,1090,589,742,162,898,468,610,425,1293,432,166,953,657,723,357,347,539,1461,864
"stmn1b",1,0,3,56,1,31,18,376,0,1,0,0,3,0,0,1,2,0,15,1,0,2,0,2,11,95,3,0,1,0,2,156,124,1,0,0,120,1,2,28,30,1,78,1,0
"stmn2a",128,60,58,37,0,169,58,996,6,30,66,14,337,7,4,3,273,5,72,1,169,149,4,11,16,184,51,11,65,162,35,70,26,13,189,181,146,38,28,5,165,108,1,50,6
"stmn2b",1667,580,2119,515,987,858,1208,2403,1282,1634,520,363,626,1760,801,1750,2327,730,1614,1306,1962,1252,891,1349,1381,1169,982,3140,2763,898,243,1681,1650,785,951,1904,402,1294,1392,969,2691,432,2249,328,1941
"stmn4",5,2,1,2,0,4,0,0,1,43,0,1,2,167,92,195,85,0,1,0,1,1,1,186,0,0,0,1,34,124,1,176,85,199,2,0,95,0,4,2,107,6,24,1,1
"stmnd1",31,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0
"stmp1",487,127,816,208,80,152,111,359,347,1030,140,67,185,77,373,285,113,487,616,380,597,207,238,14,114,510,159,379,268,5,622,573,823,183,132,119,60,466,379,309,565,501,427,332,123
"stn1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"stom",196,1,64,126,12,189,170,0,76,85,26,32,342,5,91,560,45,1,99,210,60,53,87,40,169,252,134,202,116,19,35,534,52,184,205,930,0,114,9,6,375,8,94,73,180
"stoml1",49,3,0,14,0,105,1,18,2,1,0,283,1,1,388,125,1,0,1,0,68,0,23,22,4,37,0,1,2,2,262,23,0,0,391,104,0,42,4,1,17,2,5,16,53
"stoml2",9,185,1,0,1,98,1,0,1,5,84,47,301,0,8,31,86,1,165,0,323,125,3,0,13,4,52,84,0,1,1,0,0,1,3,0,80,33,41,0,30,0,27,33,130
"stoml3a",1,10,19,147,23,146,202,22,1,58,13,1,27,201,117,31,79,319,0,74,111,96,73,150,1,13,0,1,1,0,94,188,220,1,1,109,1,43,52,0,2,2,72,272,384
"stoml3b",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,13,0,11
"stox1",0,0,156,0,0,0,0,0,190,0,60,0,0,0,0,0,0,0,21,0,0,10,0,0,0,0,0,57,0,0,0,0,1,0,0,65,0,0,0,0,0,0,0,0,0
"stox2a",83,22,52,0,0,40,66,0,1,7,0,0,2,194,0,1,34,0,0,0,21,164,8,10,0,0,0,236,0,17,29,16,13,0,34,145,3,83,183,1,0,98,19,0,107
"stox2b",99,79,133,36,379,1,195,442,2,346,81,1,1,26,94,278,255,0,113,70,0,2,47,64,64,3,2,1,419,16,158,295,72,1,7,264,5,171,9,254,447,120,42,72,33
"stra6",179,0,0,0,0,0,0,0,0,0,0,1,4,0,1,1,164,0,0,0,1,1,0,1,0,1,0,0,6,27,1,0,0,1,1,0,0,0,0,0,0,17,1,0,1
"stra6l",0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"strada",0,343,1044,56,0,97,25,0,0,454,5,217,2,0,3,0,18,0,2,190,115,85,2,15,6,24,11,1,8,144,50,85,0,65,1,32,0,30,44,2,10,0,0,25,21
"stradb",0,0,2,0,3,13,2,1,45,0,1,1,0,0,0,0,136,6,0,0,1,0,1,0,1,0,0,1,0,1,1,2,0,0,0,1,0,0,0,0,0,0,57,10,0
"strc1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0
"strip2",0,0,0,1,150,0,0,67,0,0,6,2,19,0,212,0,123,1,155,6,0,112,2,0,47,0,0,0,48,67,3,59,0,5,84,0,0,0,268,0,0,5,104,1,83
"strn3",0,0,0,0,0,0,61,161,0,69,23,28,1,0,231,155,188,11,0,53,0,0,0,1,0,0,2,0,0,0,9,0,118,0,61,0,30,1,5,0,1,1,1,0,0
"strn4",19,125,147,31,6,34,68,24,11,168,35,122,30,1,0,25,38,289,117,68,133,2,93,12,66,2,150,251,418,187,3,136,181,26,463,138,0,2,5,250,91,10,64,3,2
