"","G2.P2.G2P4R6.brain","H2.P2.G1P3P5.brain","B3.P2.O2P4P5.brain","C3.P2.O1R4G5.brain","E3.P2.G2R4P6.brain","G3.P2.G2G4R5.brain","H3.P2.O3O4R6.brain","C4.P2.R1G2R5.brain","D4.P2.O1P2R4.brain","E4.P2.R2R5G6.brain","H4.P2.G2G3O4.brain","A5.P2.R3O5G6.brain","B5.P2.G2P3O6.brain","C5.P2.G3O4G6.brain","G5.P2.R1G3O5.brain","H5.P2.O1R2G6.brain","A6.P2.G1G2G6.brain","D6.P2.G3P4O5.brain","F6.P2.O2O3G6.brain","G6.P2.R1R4R6.brain","C7.P2.G2O3O4.brain","E7.P2.O1G2P3.brain","F7.P2.P3O5R6.brain","G7.P2.O1P5R6.brain","H7.P2.O2P3O6.brain","B8.P2.P3R4G6.brain","D8.P2.R3P5G6.brain","A9.P2.P1G4G5.brain","B9.P2.O2R5R6.brain","E9.P2.G4G5R6.brain","H9.P2.R1O2P4.brain","B10.P2.G1O5P6.brain","C10.P2.R2O3O5.brain","D10.P2.R3O5O6.brain","F10.P2.R2P5P6.brain","G10.P2.R1O2P6.brain","B11.P2.G1R2P5.brain","C11.P2.P2G3P6.brain","D11.P2.G1R4P6.brain","F11.P2.G1O3R6.brain","G11.P2.R1P2O5.brain","H11.P2.P3O5O6.brain","A12.P2.R3R5R6.brain","D12.P2.R3G5O6.brain","G12.P2.P3O4R6.brain"
"44256_2",0,0,0,0,0,0,49,0,0,72,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,1,0,0,0,0,1,0,70,0,0
"44256",31,2,123,0,0,0,2,0,15,129,0,2,1,1,7,1,4,0,0,0,0,1,1,147,0,1,1,0,61,0,1,3,1,0,56,99,1,0,87,1,11,22,80,2,0
"44257",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"44259",76,192,1,0,74,358,59,4,95,185,32,122,185,0,168,269,19,143,237,474,392,322,345,54,15,100,10,400,54,425,0,36,62,353,255,86,158,0,117,470,1,58,110,319,132
"44260",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,37,0,0,0,0,0,0
"44263",238,1,0,34,223,0,47,103,41,196,160,2,722,32,120,8,3,131,171,1,46,9,118,239,134,10,113,15,297,133,1,108,31,1,156,151,49,202,137,2,530,6,274,52,134
"44264",79,98,267,43,370,1,200,324,242,56,3,131,2,145,253,147,32,1,30,95,123,46,3,373,70,73,2,74,148,60,257,87,312,213,1,60,1,11,186,1,3,128,209,1,97
"44266",0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,0,0,0,0,0,0,1,0,0,0,225,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,34,0,0
"44441",30,81,104,74,73,3,48,52,10,89,2,77,115,103,9,143,37,1,1,0,115,55,249,0,1,251,108,54,180,221,10,278,44,220,14,9,4,1,36,62,286,49,165,213,42
"44442",396,323,172,329,3,233,184,870,179,106,308,214,545,393,263,513,109,139,568,206,58,60,342,313,163,112,61,71,722,148,202,242,130,573,536,382,43,278,118,273,960,124,284,122,153
"44445",212,37,0,96,55,97,89,622,10,344,326,325,617,402,67,135,230,322,36,174,429,58,143,90,94,106,29,268,135,3,101,508,523,867,139,646,667,299,229,304,618,193,97,353,75
"44449",360,0,3,0,1,4,36,118,1,2,0,2,6,2,5,1,119,247,2,1,9,0,7,0,0,5,1,0,17,11,0,349,166,0,2,0,0,90,0,2,12,236,142,23,114
"44451",0,20,4,28,30,62,1,31,97,163,0,318,55,121,6,4,19,152,68,8,1,26,74,7,167,37,1,0,0,17,36,58,117,0,1,114,75,1,10,1,42,4,1,204,82
"44471",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"a1cf",0,0,0,50,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0
"aaas",0,0,0,0,2,0,0,0,13,0,0,40,0,3,0,35,0,1,2,63,0,43,19,7,1,1,0,1,62,23,1,2,0,11,0,68,0,1,0,106,0,0,175,0,0
"aacs",0,0,0,0,0,0,59,55,137,0,0,2,0,47,0,52,1,0,0,0,79,0,6,0,0,0,0,1,0,0,12,92,0,29,0,0,0,281,0,0,0,0,7,0,0
"aadac",0,0,53,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"aadat",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0
"aagab",0,0,0,129,0,0,0,149,0,0,0,0,141,158,0,1,3,0,45,1,2,0,1,43,1,0,0,58,0,180,0,0,0,1,1,64,179,3,3,0,105,22,9,0,0
"aamdc",220,1,38,0,0,15,0,30,0,1,62,236,10,1,2,2,165,2,0,0,128,41,2,3,40,2,224,112,34,2,0,53,0,3,16,8,1,2,2,116,67,14,0,2,11
"aanat1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"aanat2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,215,0,0,0,0,0,0,0,0,0,0,0,0,0
"aar2",112,0,16,129,260,7,0,1,18,18,2,1,2,4,0,0,11,3,0,52,2,1,1,1,0,59,2,0,1,61,64,23,228,0,215,13,1,0,21,1,0,0,9,1,1
"aars1",184,2,111,29,0,61,35,8,53,631,1,67,59,104,114,158,157,45,81,8,172,41,14,84,14,420,66,157,169,24,0,86,100,296,317,94,270,154,37,1,468,80,299,62,8
"aars2",0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,8,0,0,0,1,1,0,0,41,0,0,0,0,1,0,0,0,0
"aarsd1",1,0,0,0,91,84,0,32,0,184,0,0,1,2,40,2,2,43,0,0,0,91,1,1,0,0,0,0,0,0,44,0,232,0,0,2,0,0,1,0,0,12,0,1,90
"aasdh",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,22,0,0,0,0
"aasdhppt",0,0,0,0,0,0,0,357,0,1,116,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"aass",15,68,64,53,809,2,0,61,2,63,2,148,193,87,77,107,50,2,1,28,105,16,211,153,1,111,0,174,10,144,16,28,74,374,725,66,0,162,41,6,423,1,190,4,0
"aatka",1,0,0,31,0,97,92,2,0,141,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,82,0,0,0,2,108,1,123,1,0,0,0,1,0,0,0,1,121
"aatkb",706,6,486,7,161,326,8,18,1,127,150,132,223,347,33,127,169,31,53,68,464,15,314,47,51,5,1,256,30,18,241,231,224,294,218,839,194,219,12,9,427,1,311,270,111
"abat",0,14,60,0,0,0,0,0,0,0,0,0,0,0,1,40,1,0,1,0,15,0,0,0,0,0,0,23,0,0,0,1,2,0,0,0,0,0,1,0,0,0,0,0,0
"abca12",0,0,0,0,0,1,9,0,0,0,0,1,0,0,0,0,108,0,0,0,0,0,0,0,0,1,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"abca1b",55,0,541,237,0,80,1,0,73,1,0,78,141,49,1,144,35,1,116,16,476,24,147,5,0,1,1,159,356,269,0,1,346,0,40,180,0,1,103,0,190,0,7,1,48
"abca2",241,166,31,6,70,5,106,219,86,192,59,135,395,6,91,116,55,274,122,145,237,87,79,53,78,177,3,4,152,214,377,413,279,109,442,368,134,6,347,88,341,58,315,320,55
"abca3b",0,51,1,1,0,13,70,0,27,43,5,70,11,5,87,4,20,33,0,3,0,3,7,1,52,7,131,18,0,2,2,2,0,5,0,48,47,1,45,20,395,0,0,149,0
"abca4a",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"abca4b",0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0
"abca5",79,0,0,0,0,0,93,73,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,269,1,0,1,0,0,0,0
"abcb10",4,0,98,0,0,0,0,0,0,0,0,0,0,16,0,113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,3,0,0,0,0,0,0,0,0,0,0
"abcb11a",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"abcb11b",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"abcb4",13,147,14,30,2,0,117,0,80,370,36,0,71,1,62,29,26,6,194,103,209,7,8,149,88,3,69,116,20,3,39,49,317,100,284,94,13,49,134,296,3,2,21,18,10
"abcb6a",1,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,22,0,0,0,0,0,79,0,0,0,19,0,0,0,0,0,35
"abcb7",61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0
"abcb8",70,0,0,1,0,0,0,0,0,0,0,0,100,0,0,55,114,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,3,0,6,0,1,0
"abcb9",0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,101,0,0,0,0,0,0,0,0,0,0,0,0
"abcc1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,1,30,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"abcc10",56,1,0,1,0,0,4,1,1,1,96,0,159,0,0,37,22,0,0,145,0,0,0,0,0,2,0,0,0,0,0,3,17,3,1,91,1,0,20,77,0,0,0,308,0
"abcc12",0,0,1,0,0,0,0,2,0,0,0,1,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,1,1
"abcc2",2,1,0,1,0,0,2,0,18,3,0,2,0,0,0,1,3,0,0,0,20,0,1,6,1,0,0,0,124,1,0,0,0,0,0,1,12,0,0,0,0,0,0,0,0
"abcc3",0,0,1,7,88,0,0,2,0,0,0,28,1,0,1,0,5,0,0,0,0,2,1,0,0,0,0,0,32,0,1,13,0,0,0,0,0,0,1,0,4,27,0,19,13
"abcc4",0,0,390,1,0,0,1,0,0,245,0,0,33,0,1,1,0,79,4,8,0,209,32,0,0,0,2,0,0,0,2,0,0,0,0,1,0,1,21,0,0,1,35,0,0
"abcc5",182,1,0,24,2,306,111,1,67,0,21,9,48,4,0,204,207,3,128,110,335,190,4,15,785,446,51,226,469,2,9,72,1,139,171,148,119,18,62,4,246,63,33,3,42
"abcc6a",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"abcc8",18,38,102,24,133,78,525,27,163,294,1,84,119,3,0,198,50,0,43,0,74,311,3,0,0,40,1,88,0,2,1,69,0,14,126,3,0,5,68,3,1,2,14,0,0
"abcc9",24,0,0,1,0,6,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,155,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1
"abcd1",0,0,1,25,0,0,49,121,1,42,0,0,0,2,1,71,83,176,0,0,0,3,0,73,16,0,0,137,10,0,1,1,5,0,0,228,0,75,0,0,0,85,5,16,0
"abcd4",150,14,8,13,0,0,19,0,50,1,0,0,2,2,1,0,25,1,0,0,0,83,2,0,0,4,0,1,1,10,0,0,0,2,71,0,0,0,0,0,0,0,0,1,303
"abce1",57,1,1,149,0,5,0,1,33,350,0,0,0,24,119,2,0,3,247,0,0,14,58,3,31,0,30,12,0,114,1,31,16,87,77,11,2,5,1,7,85,1,1,0,1
"abcf1",139,113,519,1,94,51,114,276,201,290,69,120,13,1,77,455,16,102,142,0,45,3,143,156,67,148,272,3,571,301,458,223,58,144,33,425,0,99,202,2,147,143,85,104,217
"abcf3",28,0,0,2,0,0,0,0,1,0,0,0,0,0,38,1,40,0,431,0,0,0,1,2,0,0,354,195,548,1,0,0,0,0,1,37,1,2,0,1,0,0,60,0,0
"abcg1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"abcg2b",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"abcg4a",201,0,0,0,0,0,0,0,1,0,227,2,0,0,1,171,0,1,0,3,10,1,1,9,0,0,7,0,10,40,0,13,0,0,103,109,123,12,129,0,133,1,0,0,144
"abcg5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0
"abcg8",0,158,62,0,10,0,7,0,29,0,1,0,1,209,0,0,0,0,0,1,0,0,11,0,0,0,0,0,3,0,0,1,0,0,0,1,9,0,1,0,240,0,0,12,0
"abch1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0
"abhd10b",15,65,0,51,0,0,1,216,4,126,2,8,18,0,4,64,0,0,15,1,48,0,0,17,68,1,1,0,34,1,117,0,11,0,0,115,1,0,0,0,66,0,0,121,66
"abhd11",199,151,129,194,356,428,288,207,375,106,255,8,18,130,57,376,199,262,186,5,283,101,33,271,47,108,3,430,13,53,0,142,255,131,337,507,197,70,314,134,410,29,369,303,106
"abhd12",4,125,1,44,0,2,206,28,0,0,1,129,15,0,16,123,162,1,0,0,74,0,103,0,46,1,15,0,70,1,0,33,2,105,1,307,131,2,31,0,118,0,11,190,0
"abhd13",0,0,23,1,0,0,0,59,0,0,0,14,1,0,0,0,36,0,25,0,0,0,0,0,4,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,110
"abhd14b",21,2,0,0,1,0,37,0,0,0,5,11,0,0,0,1,0,0,49,0,0,13,21,1,2,301,0,0,0,92,0,0,0,0,1,4,1,55,0,0,0,0,98,0,42
"abhd15a",0,0,0,0,0,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"abhd16a",0,0,1,1,0,0,2,1,0,0,0,0,0,0,0,0,72,0,0,0,5,0,1,0,0,0,0,58,0,1,0,53,0,23,1,101,0,1,0,1,110,0,0,0,0
"abhd17aa",0,1,0,13,0,1,0,0,1,27,69,2,10,73,133,15,20,0,0,1,13,0,0,0,11,0,0,1,7,1,0,2,0,0,1,1,1,0,13,11,0,18,5,0,0
"abhd17ab",16,0,12,221,0,199,0,72,33,1,0,69,59,2,0,0,0,0,179,5,242,135,17,0,0,24,64,108,135,0,54,1,1,0,49,0,0,3,0,0,5,59,1,7,0
"abhd17b",0,65,18,1,0,0,121,3,1,0,0,1,2,1,1,1,0,0,0,0,0,1,0,0,1,64,0,0,1,19,184,5,112,91,2,1,2,0,1,143,0,1,1,133,2
"abhd18",0,1,4,1,187,51,224,320,133,4,71,59,368,1,3,115,72,6,28,153,62,288,39,22,139,9,159,98,14,11,0,123,21,109,377,337,140,151,254,1,81,76,39,2,276
"abhd3",435,0,0,111,0,0,37,758,3,332,14,0,132,11,83,129,0,0,0,1,165,398,14,2,11,1,2,0,16,2,2,0,1,0,1,132,1,1,94,0,153,102,158,50,0
"abhd5a",37,39,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"abhd6b",0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,9,3,0,0,0,0,0,0,1,0,0,0,0
"abhd8b",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"abi1a",0,50,3,0,147,2,0,0,1,5,0,3,201,199,36,4,36,0,0,0,0,29,2,2,1,0,1,1,0,201,0,227,0,0,1,20,0,10,1,0,0,0,1,1,155
"abi3a",50,0,0,0,0,0,1,666,0,139,0,0,63,27,79,1,1,0,0,0,0,0,1,98,0,0,1,0,0,116,0,0,12,0,0,0,0,1,57,0,62,34,1,0,0
"abi3b",33,0,0,0,0,0,0,0,21,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"abi3bpb",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"abitram",0,1,1,5,0,0,156,2,0,347,10,0,0,35,0,1,1,1,57,19,30,0,1,2,0,0,0,69,1,205,0,59,222,18,0,86,1,91,25,19,0,132,0,0,213
"abl1",0,172,1,0,0,0,0,0,0,0,0,0,0,0,293,0,0,0,0,0,0,0,0,142,0,0,1,0,0,1,0,2,0,1,0,8,0,0,0,226,0,1,0,1,0
"abl2",11,0,0,0,0,1,0,0,0,0,0,1,0,0,4,0,50,0,0,0,0,0,0,0,12,0,0,214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ablim1a",313,0,0,0,0,1,0,4,8,48,0,7,0,7,2,589,109,0,68,0,0,2,3,1,0,66,1,37,311,0,36,1,1,102,1,0,306,62,261,0,378,3,67,1,0
"ablim2",203,255,518,120,450,265,511,781,214,270,404,80,88,196,137,147,159,40,5,220,154,377,42,101,153,566,257,633,180,53,323,543,392,361,258,234,69,74,469,144,427,71,111,36,141
"ablim3",138,91,307,0,0,186,120,308,0,0,101,1,1,0,133,4,149,0,22,0,0,53,0,0,0,188,0,2,136,1,1,384,49,117,6,18,0,1,1,123,25,73,38,377,1
"abr",197,79,86,10,0,55,204,690,382,64,26,431,8,94,403,234,265,94,55,50,346,518,100,353,135,364,74,410,207,84,65,231,41,2,760,158,168,209,72,280,83,158,9,3,1
"abraa",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,101,0,0,0,0,0,0,0,0,0,0,0,36,0,0
"abrab",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"abracl",109,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,11,0,1,0,110,0,10,45,0,81
"abraxas1",0,0,0,37,17,0,0,29,1,6,0,0,2,0,0,12,1,119,0,5,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,103,0,0,1,0
"abraxas2",0,0,0,0,1,318,0,0,0,58,0,39,0,0,0,3,37,0,0,41,0,34,41,1,8,1,13,0,1,0,0,63,0,0,58,0,0,1,0,0,0,1,0,13,83
"abtb1",32,0,253,1,43,292,167,67,184,304,132,209,51,47,2,89,34,426,39,37,229,28,0,23,57,484,10,27,1,0,0,166,90,46,56,189,0,102,3,1,58,1,65,56,1
"abtb2b",1,0,1,1,1,70,72,1,0,0,0,0,0,0,0,6,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,5,1,0,0,1,0,0,0
"acaa1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,45,6,0,0,27,22,0,1,0
"acaa2",198,7,4,57,269,25,124,359,5,104,2,573,5,133,114,11,38,33,47,180,821,65,32,150,1,24,110,106,3,7,2,343,26,4,22,5,4,2,15,88,148,188,13,1,16
"acaca",391,207,134,61,47,9,39,223,1,335,15,96,221,5,340,39,148,209,264,499,164,18,65,103,6,155,1,305,227,20,25,2,127,247,249,62,282,8,5,2,85,208,1,2,143
"acacb",11,0,2,4,1,1,0,0,0,5,0,0,228,0,40,0,0,1,165,1,12,0,3,1,1,1,0,0,24,0,0,8,2,0,33,0,238,2,17,0,0,17,1,0,2
"acad11",0,75,0,28,109,0,2,0,102,0,2,0,0,59,0,1,0,0,16,76,0,0,0,1,0,0,2,1,0,0,0,0,0,24,0,6,0,64,0,0,0,0,0,0,163
"acad9",0,55,0,0,0,0,0,0,0,0,7,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,13,0,0,3,3,0,0,0,1,0,0,0,23,0,0,0
"acadl",17,2,181,157,45,1,6,101,1,215,32,77,9,621,17,5,3,272,5,78,204,0,57,8,26,0,1,139,0,66,2,195,23,2,3,22,1,15,133,12,2,2,188,6,21
"acadm",653,167,527,245,42,208,167,761,379,385,90,65,174,659,171,861,610,157,98,45,214,131,289,286,202,849,165,299,825,665,387,414,339,410,338,258,247,646,378,114,133,27,294,351,220
"acads",9,0,0,0,1,0,0,6,146,0,0,0,0,141,0,0,14,2,1,0,0,4,0,0,0,0,1,1,25,0,58,0,0,0,1,0,0,97,1,18,11,0,50,0,2
"acadsb",458,4,24,42,1,62,30,8,102,0,2,37,59,95,185,3,134,8,149,130,289,21,171,53,17,111,47,4,126,3,120,102,87,146,77,30,14,21,110,2,302,146,0,38,114
"acadvl",3,5,269,387,207,76,4,22,80,148,10,120,245,207,7,217,72,38,5,23,219,146,2,2,25,57,23,98,4,14,4,112,231,346,177,30,15,62,3,5,78,72,40,57,66
"acanb",253,179,260,386,2,0,1,236,1,156,162,32,75,1,0,78,7,0,62,89,72,0,312,37,45,10,89,323,1,16,36,119,39,249,126,96,0,1,0,0,0,40,31,44,117
"acap1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0
"acap3a",90,109,42,5,0,407,13,3,179,1,68,4,65,86,1,153,1,88,34,20,51,0,137,58,2,4,4,90,1,0,1,336,53,139,427,2,0,76,102,37,6,3,111,98,29
"acat1",143,73,92,8,6,61,257,107,55,106,183,60,143,790,39,162,563,439,7,90,65,292,48,64,92,149,71,79,4,7,11,262,4,9,27,2,106,5,53,179,53,81,129,339,39
"acat2",77,3,1,65,0,205,0,0,10,1,1,0,17,58,14,11,0,1,121,2,2,208,0,1,1,0,0,41,48,8,0,45,72,1,14,0,0,61,178,9,3,66,1,106,9
"acbd3",0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,68,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"acbd5a",54,80,13,16,147,146,21,3,187,1,1,104,373,5,3,18,379,10,85,1,247,100,62,12,3,102,79,297,118,0,35,212,64,165,2,230,113,91,4,19,53,91,143,156,453
"accs",82,24,0,0,1,0,0,200,0,0,0,1,1,0,0,0,1,61,0,14,0,0,36,0,0,0,0,0,0,0,0,357,1,56,1,0,0,0,0,215,0,0,0,0,0
"ace",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ace2",0,0,0,1,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,98,0,0,0,323,0,0,0,0,0,0,0
"acer1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"acer2",0,0,0,126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"acer3",12,26,1,3,24,0,34,13,2,1,0,1,14,29,21,2,30,141,14,1,15,156,242,4,47,4,2,81,144,8,52,246,104,1,110,8,68,2,106,0,1,42,1,1,292
"ache",1099,992,1801,603,120,354,335,596,362,1401,741,365,1799,717,746,1073,598,567,672,475,1011,609,441,447,317,516,617,1004,861,545,1040,1495,434,741,1909,1569,689,841,416,883,1855,1168,727,188,333
"acin1a",121,33,122,230,186,331,296,290,297,468,169,271,7,313,197,829,69,80,32,88,1010,204,91,100,335,339,127,366,107,7,20,419,574,421,298,258,9,5,453,2,402,49,76,2,155
"acin1b",74,57,39,0,117,392,0,172,108,197,5,77,70,24,6,4,190,1,0,102,1,250,31,2,5,2,9,32,11,200,0,0,129,183,527,4,1,130,166,321,5,31,103,0,235
"ackr3a",298,138,23,416,0,181,57,175,69,207,24,1,848,1,5,81,1,0,179,55,2,0,39,357,77,18,7,46,271,15,163,180,51,0,15,174,103,95,3,0,301,307,414,332,66
"ackr4a",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ackr4b",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"aclya",326,152,32,86,579,1,58,7,1,44,50,102,21,138,111,8,182,22,109,1,172,73,17,95,0,18,4,7,44,2,168,120,111,231,497,82,0,442,230,9,283,147,35,83,26
"aclyb",140,0,49,81,1,174,4,0,17,54,1,5,57,4,187,152,73,2,40,5,80,29,2,0,1,1,2,1,130,38,1,51,2,287,82,246,0,0,169,111,301,0,162,73,68
"acmsd",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"aco1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"aco2",558,363,706,736,70,289,483,596,305,335,378,436,826,134,201,100,446,111,501,550,149,209,497,622,129,302,108,672,540,109,319,907,919,198,611,987,390,182,147,521,226,318,245,186,426
"acod1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
